orderRef,refundedAt,amount,currency,reason,items,order_id,refunded_at,refundAmount,currencyCode,refund_reason,refunded_items,order,ts,amt,ccy,items_refunded
,,,,,,ORD-000395,2023-07-16T21:11:02Z,2500.0,NGN,customer_request,"[{'sku': 'SKU-0099', 'qty': 1, 'amount': 2500}]",,,,,
ORD-001115,2023-10-31T23:56:28,25000.0,USD,customer_request,,,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-001097,1689829278.0,5000.0,NGN,
,,,,,,ORD-000341,2023-07-15T00:04:29Z,4000.0,NGN,late_delivery,"[{'sku': 'SKU-0015', 'qty': 2, 'amount': 4000}]",,,,,
ORD-000991,2023-02-06T00:32:50,8000.0,NGN,late_delivery,"[{'sku': 'SKU-0132', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0027', 'qty': 2, 'amount': 6500}]",,,,,,,,,,,
,,,,,,ORD-000478,2023-02-19T23:31:42Z,3000.0,NGN,late_delivery,"[{'sku': 'SKU-0123', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0051', 'qty': 1, 'amount': 1500}]",,,,,
,,,,,,ORD-000014,2023-07-27T10:28:01Z,8000.0,NGN,duplicate,"[{'sku': 'SKU-0107', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0188', 'qty': 2, 'amount': 6500}]",,,,,
,,,,duplicate,,,,,,,,ORD-000717,1700713886.0,8000.0,NGN,"[{'sku': 'SKU-0049', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0162', 'qty': 1, 'amount': 4000}]"
,,,,,,ORD-000651,2023-06-22T12:47:01Z,25000.0,NGN,late_delivery,,,,,,
ORD-000988,2023-09-22T06:51:26,18000.0,NGN,late_delivery,,,,,,,,,,,,
ORD-000070,2023-10-09T14:49:55,1500.0,NGN,customer_request,"[{'sku': 'SKU-0168', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,damaged,,,,,,,,ORD-000543,1696841306.0,1500.0,NGN,"[{'sku': 'SKU-0173', 'qty': 2, 'amount': 1500}]"
,,,,duplicate,,,,,,,,ORD-000200,1692996752.0,9000.0,NGN,
ORD-000458,2023-09-10T15:06:01,1500.0,USD,customer_request,"[{'sku': 'SKU-0086', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,duplicate,,,,,,,,ORD-000741,1694087970.0,9000.0,NGN,
,,,,,,ORD-001035,2023-02-05T14:01:01Z,1500.0,USD,damaged,"[{'sku': 'SKU-0111', 'qty': 1, 'amount': 1500}]",,,,,
,,,,,,ORD-000837,2023-01-21T19:18:15Z,9000.0,NGN,customer_request,,,,,,
,,,,duplicate,,,,,,,,ORD-001180,1674476856.0,4000.0,NGN,"[{'sku': 'SKU-0067', 'qty': 1, 'amount': 4000}]"
ORD-000835,2023-05-05T22:45:21,6500.0,NGN,damaged,"[{'sku': 'SKU-0113', 'qty': 1, 'amount': 4000}, {'sku': 'SKU-0157', 'qty': 2, 'amount': 2500}]",,,,,,,,,,,
ORD-000534,2023-10-01T08:11:22,4000.0,NGN,duplicate,"[{'sku': 'SKU-0204', 'qty': 2, 'amount': 4000}]",,,,,,,,,,,
,,,,damaged,,,,,,,,ORD-000043,1686190405.0,2500.0,NGN,"[{'sku': 'SKU-0035', 'qty': 2, 'amount': 2500}]"
,,,,,,ORD-001071,2023-01-10T09:22:58Z,9000.0,USD,damaged,,,,,,
,,,,,,ORD-000214,2023-09-18T23:39:29Z,4000.0,NGN,damaged,"[{'sku': 'SKU-0142', 'qty': 2, 'amount': 4000}]",,,,,
ORD-001078,2023-05-27T15:44:22,2500.0,NGN,damaged,"[{'sku': 'SKU-0057', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
ORD-001068,2023-02-20T17:36:07,25000.0,USD,late_delivery,,,,,,,,,,,,
,,,,,,ORD-000806,2023-03-28T13:57:38Z,4000.0,NGN,damaged,"[{'sku': 'SKU-0159', 'qty': 2, 'amount': 4000}]",,,,,
,,,,,,ORD-000958,2023-05-13T11:03:30Z,9000.0,NGN,damaged,,,,,,
,,,,late_delivery,,,,,,,,ORD-000822,1685990365.0,1500.0,NGN,"[{'sku': 'SKU-0105', 'qty': 1, 'amount': 1500}]"
ORD-000760,2023-06-29T04:19:35,4000.0,NGN,damaged,"[{'sku': 'SKU-0161', 'qty': 2, 'amount': 4000}]",,,,,,,,,,,
ORD-000931,2023-10-04T09:27:19,5000.0,NGN,damaged,,,,,,,,,,,,
,,,,,,ORD-000901,2023-09-23T05:33:28Z,6500.0,NGN,damaged,"[{'sku': 'SKU-0124', 'qty': 2, 'amount': 6500}]",,,,,
,,,,,,ORD-001096,2023-07-21T00:54:48Z,6500.0,NGN,late_delivery,"[{'sku': 'SKU-0030', 'qty': 1, 'amount': 6500}]",,,,,
,,,,,,ORD-000096,2023-07-28T01:47:01Z,25000.0,NGN,damaged,,,,,,
ORD-001108,2023-09-05T11:11:11,12000.0,NGN,damaged,,,,,,,,,,,,
,,,,,,ORD-000260,2023-11-17T19:53:44Z,25000.0,NGN,customer_request,,,,,,
ORD-000793,2023-09-15T14:57:30,6500.0,NGN,late_delivery,"[{'sku': 'SKU-0079', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
,,,,,,ORD-000723,2023-06-08T05:05:36Z,1500.0,NGN,customer_request,"[{'sku': 'SKU-0165', 'qty': 1, 'amount': 1500}]",,,,,
,,,,damaged,,,,,,,,ORD-000600,1698565268.0,2500.0,NGN,"[{'sku': 'SKU-0161', 'qty': 1, 'amount': 2500}]"
,,,,,,ORD-001065,2023-04-20T09:55:18Z,5000.0,NGN,customer_request,,,,,,
